DATE,age_category,percent_positive_7d_avg
15-Aug-20,0to13,0.0086
16-Aug-20,0to13,0.0086
17-Aug-20,0to13,0.0087
18-Aug-20,0to13,0.0081
19-Aug-20,0to13,0.0091
20-Aug-20,0to13,0.0063
21-Aug-20,0to13,0.0064
22-Aug-20,0to13,0.0067
23-Aug-20,0to13,0.0067
24-Aug-20,0to13,0.008
25-Aug-20,0to13,0.0084
26-Aug-20,0to13,0.008
27-Aug-20,0to13,0.0077
28-Aug-20,0to13,0.0085
29-Aug-20,0to13,0.0083
30-Aug-20,0to13,0.0082
31-Aug-20,0to13,0.0068
01-Sep-20,0to13,0.0076
02-Sep-20,0to13,0.0071
03-Sep-20,0to13,0.0083
04-Sep-20,0to13,0.0088
05-Sep-20,0to13,0.009
06-Sep-20,0to13,0.0093
07-Sep-20,0to13,0.0105
08-Sep-20,0to13,0.0095
09-Sep-20,0to13,0.0093
10-Sep-20,0to13,0.0087
11-Sep-20,0to13,0.0074
12-Sep-20,0to13,0.0071
13-Sep-20,0to13,0.007
14-Sep-20,0to13,0.006
15-Sep-20,0to13,0.0056
16-Sep-20,0to13,0.0056
17-Sep-20,0to13,0.0053
18-Sep-20,0to13,0.0058
19-Sep-20,0to13,0.0059
20-Sep-20,0to13,0.0058
21-Sep-20,0to13,0.0055
22-Sep-20,0to13,0.0051
23-Sep-20,0to13,0.0053
24-Sep-20,0to13,0.0051
25-Sep-20,0to13,0.0051
26-Sep-20,0to13,0.0052
27-Sep-20,0to13,0.0055
28-Sep-20,0to13,0.0055
29-Sep-20,0to13,0.0057
30-Sep-20,0to13,0.0055
01-Oct-20,0to13,0.0057
02-Oct-20,0to13,0.0058
03-Oct-20,0to13,0.0059
04-Oct-20,0to13,0.0056
05-Oct-20,0to13,0.0061
06-Oct-20,0to13,0.0068
07-Oct-20,0to13,0.0076
08-Oct-20,0to13,0.0089
09-Oct-20,0to13,0.0101
10-Oct-20,0to13,0.0111
11-Oct-20,0to13,0.0124
12-Oct-20,0to13,0.0138
13-Oct-20,0to13,0.0143
14-Oct-20,0to13,0.0147
15-Oct-20,0to13,0.0164
16-Oct-20,0to13,0.017
17-Oct-20,0to13,0.0173
18-Oct-20,0to13,0.0168
19-Oct-20,0to13,0.018
20-Oct-20,0to13,0.0197
21-Oct-20,0to13,0.0231
22-Oct-20,0to13,0.0243
23-Oct-20,0to13,0.0257
24-Oct-20,0to13,0.0272
25-Oct-20,0to13,0.0296
26-Oct-20,0to13,0.03
27-Oct-20,0to13,0.0295
28-Oct-20,0to13,0.0295
29-Oct-20,0to13,0.0293
30-Oct-20,0to13,0.0292
31-Oct-20,0to13,0.0302
01-Nov-20,0to13,0.03
02-Nov-20,0to13,0.0316
03-Nov-20,0to13,0.0343
04-Nov-20,0to13,0.0349
05-Nov-20,0to13,0.0349
06-Nov-20,0to13,0.0387
07-Nov-20,0to13,0.04
08-Nov-20,0to13,0.0419
09-Nov-20,0to13,0.042
10-Nov-20,0to13,0.0431
11-Nov-20,0to13,0.0447
12-Nov-20,0to13,0.0462
13-Nov-20,0to13,0.044
14-Nov-20,0to13,0.0428
15-Nov-20,0to13,0.0419
16-Nov-20,0to13,0.0418
17-Nov-20,0to13,0.0423
18-Nov-20,0to13,0.0427
19-Nov-20,0to13,0.0447
20-Nov-20,0to13,0.0465
21-Nov-20,0to13,0.0466
22-Nov-20,0to13,0.0466
23-Nov-20,0to13,0.0471
24-Nov-20,0to13,0.0478
25-Nov-20,0to13,0.0476
26-Nov-20,0to13,0.048
27-Nov-20,0to13,0.0479
28-Nov-20,0to13,0.0492
29-Nov-20,0to13,0.05
30-Nov-20,0to13,0.0513
01-Dec-20,0to13,0.0517
02-Dec-20,0to13,0.0524
03-Dec-20,0to13,0.0525
04-Dec-20,0to13,0.0529
05-Dec-20,0to13,0.0522
06-Dec-20,0to13,0.052
07-Dec-20,0to13,0.0499
08-Dec-20,0to13,0.0468
09-Dec-20,0to13,0.0457
10-Dec-20,0to13,0.0444
11-Dec-20,0to13,0.0435
12-Dec-20,0to13,0.0431
13-Dec-20,0to13,0.044
14-Dec-20,0to13,0.0459
15-Dec-20,0to13,0.0486
16-Dec-20,0to13,0.0503
17-Dec-20,0to13,0.0521
18-Dec-20,0to13,0.0528
19-Dec-20,0to13,0.0545
20-Dec-20,0to13,0.0542
21-Dec-20,0to13,0.0558
22-Dec-20,0to13,0.0584
23-Dec-20,0to13,0.0624
24-Dec-20,0to13,0.0659
25-Dec-20,0to13,0.0715
26-Dec-20,0to13,0.0773
27-Dec-20,0to13,0.0825
28-Dec-20,0to13,0.096
29-Dec-20,0to13,0.1091
30-Dec-20,0to13,0.1232
31-Dec-20,0to13,0.1337
01-Jan-21,0to13,0.1379
02-Jan-21,0to13,0.1438
03-Jan-21,0to13,0.1553
04-Jan-21,0to13,0.161
05-Jan-21,0to13,0.1713
06-Jan-21,0to13,0.1767
07-Jan-21,0to13,0.1761
01-May-20,14to17,0.0337
02-May-20,14to17,0.0374
03-May-20,14to17,0.0431
04-May-20,14to17,0.0378
05-May-20,14to17,0.0348
06-May-20,14to17,0.035
07-May-20,14to17,0.0384
08-May-20,14to17,0.0358
09-May-20,14to17,0.0341
10-May-20,14to17,0.0271
11-May-20,14to17,0.0351
12-May-20,14to17,0.0374
13-May-20,14to17,0.0423
14-May-20,14to17,0.0449
15-May-20,14to17,0.0465
16-May-20,14to17,0.0497
17-May-20,14to17,0.0599
18-May-20,14to17,0.0621
19-May-20,14to17,0.0676
20-May-20,14to17,0.0701
21-May-20,14to17,0.0727
22-May-20,14to17,0.0677
23-May-20,14to17,0.0662
24-May-20,14to17,0.056
25-May-20,14to17,0.0435
26-May-20,14to17,0.0362
27-May-20,14to17,0.0306
28-May-20,14to17,0.0271
29-May-20,14to17,0.0258
30-May-20,14to17,0.0219
31-May-20,14to17,0.0224
01-Jun-20,14to17,0.0258
02-Jun-20,14to17,0.0267
03-Jun-20,14to17,0.0277
04-Jun-20,14to17,0.0273
05-Jun-20,14to17,0.0266
06-Jun-20,14to17,0.0289
07-Jun-20,14to17,0.0288
08-Jun-20,14to17,0.0239
09-Jun-20,14to17,0.0221
10-Jun-20,14to17,0.0174
11-Jun-20,14to17,0.0149
12-Jun-20,14to17,0.0159
13-Jun-20,14to17,0.0147
14-Jun-20,14to17,0.0142
15-Jun-20,14to17,0.0151
16-Jun-20,14to17,0.0153
17-Jun-20,14to17,0.0172
18-Jun-20,14to17,0.0173
19-Jun-20,14to17,0.0158
20-Jun-20,14to17,0.0161
21-Jun-20,14to17,0.0148
22-Jun-20,14to17,0.0147
23-Jun-20,14to17,0.0131
24-Jun-20,14to17,0.014
25-Jun-20,14to17,0.0131
26-Jun-20,14to17,0.0139
27-Jun-20,14to17,0.0137
28-Jun-20,14to17,0.0142
29-Jun-20,14to17,0.0132
30-Jun-20,14to17,0.0168
01-Jul-20,14to17,0.0164
02-Jul-20,14to17,0.0164
03-Jul-20,14to17,0.0142
04-Jul-20,14to17,0.0133
05-Jul-20,14to17,0.0139
06-Jul-20,14to17,0.0147
07-Jul-20,14to17,0.0116
08-Jul-20,14to17,0.0109
09-Jul-20,14to17,0.0102
10-Jul-20,14to17,0.0106
11-Jul-20,14to17,0.0107
12-Jul-20,14to17,0.0091
13-Jul-20,14to17,0.008
14-Jul-20,14to17,0.0086
15-Jul-20,14to17,0.0106
16-Jul-20,14to17,0.012
17-Jul-20,14to17,0.0151
18-Jul-20,14to17,0.0142
19-Jul-20,14to17,0.0148
20-Jul-20,14to17,0.0156
21-Jul-20,14to17,0.0173
22-Jul-20,14to17,0.0161
23-Jul-20,14to17,0.0149
24-Jul-20,14to17,0.0124
25-Jul-20,14to17,0.0127
26-Jul-20,14to17,0.0126
27-Jul-20,14to17,0.0135
28-Jul-20,14to17,0.0128
29-Jul-20,14to17,0.0123
30-Jul-20,14to17,0.0129
31-Jul-20,14to17,0.0127
01-Aug-20,14to17,0.0136
02-Aug-20,14to17,0.0139
03-Aug-20,14to17,0.0134
04-Aug-20,14to17,0.0114
05-Aug-20,14to17,0.0104
06-Aug-20,14to17,0.0111
07-Aug-20,14to17,0.0124
08-Aug-20,14to17,0.0116
09-Aug-20,14to17,0.0114
10-Aug-20,14to17,0.0104
11-Aug-20,14to17,0.0115
12-Aug-20,14to17,0.0119
13-Aug-20,14to17,0.013
14-Aug-20,14to17,0.0116
15-Aug-20,14to17,0.011
16-Aug-20,14to17,0.0106
17-Aug-20,14to17,0.0108
18-Aug-20,14to17,0.0093
19-Aug-20,14to17,0.0097
20-Aug-20,14to17,0.0072
21-Aug-20,14to17,0.0067
22-Aug-20,14to17,0.0078
23-Aug-20,14to17,0.0078
24-Aug-20,14to17,0.0088
25-Aug-20,14to17,0.0088
26-Aug-20,14to17,0.0108
27-Aug-20,14to17,0.0112
28-Aug-20,14to17,0.0125
29-Aug-20,14to17,0.0127
30-Aug-20,14to17,0.0124
31-Aug-20,14to17,0.013
01-Sep-20,14to17,0.0133
02-Sep-20,14to17,0.0152
03-Sep-20,14to17,0.017
04-Sep-20,14to17,0.0172
05-Sep-20,14to17,0.0171
06-Sep-20,14to17,0.0192
07-Sep-20,14to17,0.0216
08-Sep-20,14to17,0.0232
09-Sep-20,14to17,0.0201
10-Sep-20,14to17,0.0191
11-Sep-20,14to17,0.0188
12-Sep-20,14to17,0.0182
13-Sep-20,14to17,0.0169
14-Sep-20,14to17,0.0143
15-Sep-20,14to17,0.015
16-Sep-20,14to17,0.0146
17-Sep-20,14to17,0.0162
18-Sep-20,14to17,0.0174
19-Sep-20,14to17,0.0173
20-Sep-20,14to17,0.0184
21-Sep-20,14to17,0.0176
22-Sep-20,14to17,0.0151
23-Sep-20,14to17,0.016
24-Sep-20,14to17,0.0146
25-Sep-20,14to17,0.0138
26-Sep-20,14to17,0.0152
27-Sep-20,14to17,0.0153
28-Sep-20,14to17,0.0181
29-Sep-20,14to17,0.02
30-Sep-20,14to17,0.019
01-Oct-20,14to17,0.0188
02-Oct-20,14to17,0.0201
03-Oct-20,14to17,0.0195
04-Oct-20,14to17,0.0194
05-Oct-20,14to17,0.0168
06-Oct-20,14to17,0.0162
07-Oct-20,14to17,0.0183
08-Oct-20,14to17,0.0191
09-Oct-20,14to17,0.0189
10-Oct-20,14to17,0.0209
11-Oct-20,14to17,0.0212
12-Oct-20,14to17,0.0238
13-Oct-20,14to17,0.0261
14-Oct-20,14to17,0.0259
15-Oct-20,14to17,0.0276
16-Oct-20,14to17,0.0294
17-Oct-20,14to17,0.0291
18-Oct-20,14to17,0.0315
19-Oct-20,14to17,0.0335
20-Oct-20,14to17,0.0367
21-Oct-20,14to17,0.0389
22-Oct-20,14to17,0.041
23-Oct-20,14to17,0.041
24-Oct-20,14to17,0.0408
25-Oct-20,14to17,0.0392
26-Oct-20,14to17,0.0378
27-Oct-20,14to17,0.0353
28-Oct-20,14to17,0.0344
29-Oct-20,14to17,0.0345
30-Oct-20,14to17,0.0368
31-Oct-20,14to17,0.0413
01-Nov-20,14to17,0.0423
02-Nov-20,14to17,0.043
03-Nov-20,14to17,0.0461
04-Nov-20,14to17,0.051
05-Nov-20,14to17,0.0523
06-Nov-20,14to17,0.0533
07-Nov-20,14to17,0.0542
08-Nov-20,14to17,0.0564
09-Nov-20,14to17,0.0592
10-Nov-20,14to17,0.0629
11-Nov-20,14to17,0.0622
12-Nov-20,14to17,0.0633
13-Nov-20,14to17,0.0654
14-Nov-20,14to17,0.0663
15-Nov-20,14to17,0.0678
16-Nov-20,14to17,0.067
17-Nov-20,14to17,0.0635
18-Nov-20,14to17,0.0647
19-Nov-20,14to17,0.0645
20-Nov-20,14to17,0.0614
21-Nov-20,14to17,0.0564
22-Nov-20,14to17,0.0558
23-Nov-20,14to17,0.0549
24-Nov-20,14to17,0.0571
25-Nov-20,14to17,0.0571
26-Nov-20,14to17,0.0581
27-Nov-20,14to17,0.0595
28-Nov-20,14to17,0.0639
29-Nov-20,14to17,0.0647
30-Nov-20,14to17,0.0686
01-Dec-20,14to17,0.0688
02-Dec-20,14to17,0.0695
03-Dec-20,14to17,0.0706
04-Dec-20,14to17,0.0708
05-Dec-20,14to17,0.0681
06-Dec-20,14to17,0.0656
07-Dec-20,14to17,0.0654
08-Dec-20,14to17,0.0631
09-Dec-20,14to17,0.0602
10-Dec-20,14to17,0.0589
11-Dec-20,14to17,0.0593
12-Dec-20,14to17,0.0621
13-Dec-20,14to17,0.0645
14-Dec-20,14to17,0.0639
15-Dec-20,14to17,0.0659
16-Dec-20,14to17,0.0681
17-Dec-20,14to17,0.0672
18-Dec-20,14to17,0.0681
19-Dec-20,14to17,0.0668
20-Dec-20,14to17,0.0671
21-Dec-20,14to17,0.0666
22-Dec-20,14to17,0.0667
23-Dec-20,14to17,0.0703
24-Dec-20,14to17,0.0771
25-Dec-20,14to17,0.0809
26-Dec-20,14to17,0.0859
27-Dec-20,14to17,0.0915
28-Dec-20,14to17,0.0999
29-Dec-20,14to17,0.1156
30-Dec-20,14to17,0.1289
31-Dec-20,14to17,0.1346
01-Jan-21,14to17,0.1363
02-Jan-21,14to17,0.1436
03-Jan-21,14to17,0.1476
04-Jan-21,14to17,0.1504
05-Jan-21,14to17,0.1485
06-Jan-21,14to17,0.1461
07-Jan-21,14to17,0.1513
01-May-20,18to24,0.0437
02-May-20,18to24,0.0411
03-May-20,18to24,0.0422
04-May-20,18to24,0.0428
05-May-20,18to24,0.0428
06-May-20,18to24,0.0379
07-May-20,18to24,0.0349
08-May-20,18to24,0.0336
09-May-20,18to24,0.0368
10-May-20,18to24,0.0353
11-May-20,18to24,0.0341
12-May-20,18to24,0.0349
13-May-20,18to24,0.0362
14-May-20,18to24,0.0402
15-May-20,18to24,0.0433
16-May-20,18to24,0.043
17-May-20,18to24,0.0463
18-May-20,18to24,0.0507
19-May-20,18to24,0.0551
20-May-20,18to24,0.0588
21-May-20,18to24,0.0621
22-May-20,18to24,0.0614
23-May-20,18to24,0.0627
24-May-20,18to24,0.0596
25-May-20,18to24,0.0521
26-May-20,18to24,0.0488
27-May-20,18to24,0.0443
28-May-20,18to24,0.0411
29-May-20,18to24,0.0403
30-May-20,18to24,0.0368
31-May-20,18to24,0.0342
01-Jun-20,18to24,0.0331
02-Jun-20,18to24,0.0299
03-Jun-20,18to24,0.0295
04-Jun-20,18to24,0.0273
05-Jun-20,18to24,0.0261
06-Jun-20,18to24,0.0249
07-Jun-20,18to24,0.0246
08-Jun-20,18to24,0.0221
09-Jun-20,18to24,0.0189
10-Jun-20,18to24,0.0168
11-Jun-20,18to24,0.0158
12-Jun-20,18to24,0.0136
13-Jun-20,18to24,0.0137
14-Jun-20,18to24,0.0138
15-Jun-20,18to24,0.0145
16-Jun-20,18to24,0.0148
17-Jun-20,18to24,0.015
18-Jun-20,18to24,0.0145
19-Jun-20,18to24,0.014
20-Jun-20,18to24,0.0145
21-Jun-20,18to24,0.0138
22-Jun-20,18to24,0.0125
23-Jun-20,18to24,0.0124
24-Jun-20,18to24,0.0116
25-Jun-20,18to24,0.0126
26-Jun-20,18to24,0.0126
27-Jun-20,18to24,0.0115
28-Jun-20,18to24,0.0114
29-Jun-20,18to24,0.0112
30-Jun-20,18to24,0.0106
01-Jul-20,18to24,0.0107
02-Jul-20,18to24,0.0091
03-Jul-20,18to24,0.009
04-Jul-20,18to24,0.0088
05-Jul-20,18to24,0.008
06-Jul-20,18to24,0.008
07-Jul-20,18to24,0.0083
08-Jul-20,18to24,0.0083
09-Jul-20,18to24,0.0085
10-Jul-20,18to24,0.0084
11-Jul-20,18to24,0.0085
12-Jul-20,18to24,0.0088
13-Jul-20,18to24,0.008
14-Jul-20,18to24,0.0076
15-Jul-20,18to24,0.008
16-Jul-20,18to24,0.008
17-Jul-20,18to24,0.0089
18-Jul-20,18to24,0.0088
19-Jul-20,18to24,0.0096
20-Jul-20,18to24,0.0098
21-Jul-20,18to24,0.0103
22-Jul-20,18to24,0.0106
23-Jul-20,18to24,0.0106
24-Jul-20,18to24,0.0107
25-Jul-20,18to24,0.011
26-Jul-20,18to24,0.0104
27-Jul-20,18to24,0.01
28-Jul-20,18to24,0.0094
29-Jul-20,18to24,0.0084
30-Jul-20,18to24,0.0083
31-Jul-20,18to24,0.0076
01-Aug-20,18to24,0.0078
02-Aug-20,18to24,0.0076
03-Aug-20,18to24,0.0074
04-Aug-20,18to24,0.0075
05-Aug-20,18to24,0.0075
06-Aug-20,18to24,0.0073
07-Aug-20,18to24,0.0075
08-Aug-20,18to24,0.0067
09-Aug-20,18to24,0.0062
10-Aug-20,18to24,0.0064
11-Aug-20,18to24,0.0059
12-Aug-20,18to24,0.005
13-Aug-20,18to24,0.0049
14-Aug-20,18to24,0.0048
15-Aug-20,18to24,0.0052
16-Aug-20,18to24,0.0054
17-Aug-20,18to24,0.0061
18-Aug-20,18to24,0.0067
19-Aug-20,18to24,0.0075
20-Aug-20,18to24,0.0077
21-Aug-20,18to24,0.0075
22-Aug-20,18to24,0.0072
23-Aug-20,18to24,0.0076
24-Aug-20,18to24,0.0076
25-Aug-20,18to24,0.0074
26-Aug-20,18to24,0.0084
27-Aug-20,18to24,0.0079
28-Aug-20,18to24,0.008
29-Aug-20,18to24,0.0086
30-Aug-20,18to24,0.0087
31-Aug-20,18to24,0.0084
01-Sep-20,18to24,0.0085
02-Sep-20,18to24,0.008
03-Sep-20,18to24,0.0086
04-Sep-20,18to24,0.0089
05-Sep-20,18to24,0.0082
06-Sep-20,18to24,0.0087
07-Sep-20,18to24,0.0099
08-Sep-20,18to24,0.0112
09-Sep-20,18to24,0.0116
10-Sep-20,18to24,0.0135
11-Sep-20,18to24,0.0151
12-Sep-20,18to24,0.0162
13-Sep-20,18to24,0.0165
14-Sep-20,18to24,0.016
15-Sep-20,18to24,0.0187
16-Sep-20,18to24,0.021
17-Sep-20,18to24,0.0221
18-Sep-20,18to24,0.0228
19-Sep-20,18to24,0.0235
20-Sep-20,18to24,0.0238
21-Sep-20,18to24,0.0251
22-Sep-20,18to24,0.0241
23-Sep-20,18to24,0.0243
24-Sep-20,18to24,0.0244
25-Sep-20,18to24,0.0261
26-Sep-20,18to24,0.0277
27-Sep-20,18to24,0.0294
28-Sep-20,18to24,0.0326
29-Sep-20,18to24,0.0349
30-Sep-20,18to24,0.0365
01-Oct-20,18to24,0.0373
02-Oct-20,18to24,0.0359
03-Oct-20,18to24,0.0355
04-Oct-20,18to24,0.0346
05-Oct-20,18to24,0.0307
06-Oct-20,18to24,0.0278
07-Oct-20,18to24,0.0268
08-Oct-20,18to24,0.0262
09-Oct-20,18to24,0.0265
10-Oct-20,18to24,0.0258
11-Oct-20,18to24,0.0274
12-Oct-20,18to24,0.0304
13-Oct-20,18to24,0.0327
14-Oct-20,18to24,0.0327
15-Oct-20,18to24,0.0334
16-Oct-20,18to24,0.0334
17-Oct-20,18to24,0.0349
18-Oct-20,18to24,0.034
19-Oct-20,18to24,0.0335
20-Oct-20,18to24,0.0342
21-Oct-20,18to24,0.0353
22-Oct-20,18to24,0.0366
23-Oct-20,18to24,0.0381
24-Oct-20,18to24,0.0387
25-Oct-20,18to24,0.0391
26-Oct-20,18to24,0.0393
27-Oct-20,18to24,0.0396
28-Oct-20,18to24,0.04
29-Oct-20,18to24,0.0406
30-Oct-20,18to24,0.042
31-Oct-20,18to24,0.0434
01-Nov-20,18to24,0.0439
02-Nov-20,18to24,0.0431
03-Nov-20,18to24,0.0439
04-Nov-20,18to24,0.0452
05-Nov-20,18to24,0.0455
06-Nov-20,18to24,0.0463
07-Nov-20,18to24,0.0468
08-Nov-20,18to24,0.0477
09-Nov-20,18to24,0.0505
10-Nov-20,18to24,0.0522
11-Nov-20,18to24,0.0556
12-Nov-20,18to24,0.058
13-Nov-20,18to24,0.0572
14-Nov-20,18to24,0.0557
15-Nov-20,18to24,0.0561
16-Nov-20,18to24,0.0551
17-Nov-20,18to24,0.0537
18-Nov-20,18to24,0.052
19-Nov-20,18to24,0.0509
20-Nov-20,18to24,0.0512
21-Nov-20,18to24,0.0519
22-Nov-20,18to24,0.0513
23-Nov-20,18to24,0.0516
24-Nov-20,18to24,0.051
25-Nov-20,18to24,0.0501
26-Nov-20,18to24,0.0489
27-Nov-20,18to24,0.0486
28-Nov-20,18to24,0.0498
29-Nov-20,18to24,0.0519
30-Nov-20,18to24,0.0522
01-Dec-20,18to24,0.0526
02-Dec-20,18to24,0.052
03-Dec-20,18to24,0.0527
04-Dec-20,18to24,0.0535
05-Dec-20,18to24,0.0535
06-Dec-20,18to24,0.052
07-Dec-20,18to24,0.0521
08-Dec-20,18to24,0.0508
09-Dec-20,18to24,0.0519
10-Dec-20,18to24,0.053
11-Dec-20,18to24,0.0533
12-Dec-20,18to24,0.0538
13-Dec-20,18to24,0.0538
14-Dec-20,18to24,0.0545
15-Dec-20,18to24,0.0558
16-Dec-20,18to24,0.0549
17-Dec-20,18to24,0.0541
18-Dec-20,18to24,0.054
19-Dec-20,18to24,0.0539
20-Dec-20,18to24,0.0541
21-Dec-20,18to24,0.0522
22-Dec-20,18to24,0.0526
23-Dec-20,18to24,0.0553
24-Dec-20,18to24,0.0601
25-Dec-20,18to24,0.0624
26-Dec-20,18to24,0.0653
27-Dec-20,18to24,0.0679
28-Dec-20,18to24,0.0771
29-Dec-20,18to24,0.0813
30-Dec-20,18to24,0.0856
31-Dec-20,18to24,0.0857
01-Jan-21,18to24,0.0876
02-Jan-21,18to24,0.0911
03-Jan-21,18to24,0.0947
04-Jan-21,18to24,0.0934
05-Jan-21,18to24,0.0967
06-Jan-21,18to24,0.0969
07-Jan-21,18to24,0.0967
01-May-20,25to64,0.0503
02-May-20,25to64,0.0491
03-May-20,25to64,0.0482
04-May-20,25to64,0.0468
05-May-20,25to64,0.0446
06-May-20,25to64,0.0421
07-May-20,25to64,0.0403
08-May-20,25to64,0.0388
09-May-20,25to64,0.0383
10-May-20,25to64,0.0382
11-May-20,25to64,0.0382
12-May-20,25to64,0.0385
13-May-20,25to64,0.04
14-May-20,25to64,0.0414
15-May-20,25to64,0.0442
16-May-20,25to64,0.0461
17-May-20,25to64,0.0481
18-May-20,25to64,0.0509
19-May-20,25to64,0.0577
20-May-20,25to64,0.0618
21-May-20,25to64,0.0652
22-May-20,25to64,0.0619
23-May-20,25to64,0.0608
24-May-20,25to64,0.058
25-May-20,25to64,0.0515
26-May-20,25to64,0.0446
27-May-20,25to64,0.0392
28-May-20,25to64,0.0354
29-May-20,25to64,0.0341
30-May-20,25to64,0.0326
31-May-20,25to64,0.0312
01-Jun-20,25to64,0.0302
02-Jun-20,25to64,0.0282
03-Jun-20,25to64,0.0265
04-Jun-20,25to64,0.0248
05-Jun-20,25to64,0.023
06-Jun-20,25to64,0.0221
07-Jun-20,25to64,0.0214
08-Jun-20,25to64,0.0191
09-Jun-20,25to64,0.0168
10-Jun-20,25to64,0.0152
11-Jun-20,25to64,0.0139
12-Jun-20,25to64,0.0129
13-Jun-20,25to64,0.0122
14-Jun-20,25to64,0.0121
15-Jun-20,25to64,0.0118
16-Jun-20,25to64,0.0117
17-Jun-20,25to64,0.0117
18-Jun-20,25to64,0.0117
19-Jun-20,25to64,0.0116
20-Jun-20,25to64,0.0117
21-Jun-20,25to64,0.0111
22-Jun-20,25to64,0.011
23-Jun-20,25to64,0.0103
24-Jun-20,25to64,0.0096
25-Jun-20,25to64,0.0093
26-Jun-20,25to64,0.0087
27-Jun-20,25to64,0.0085
28-Jun-20,25to64,0.0082
29-Jun-20,25to64,0.008
30-Jun-20,25to64,0.0079
01-Jul-20,25to64,0.0082
02-Jul-20,25to64,0.0081
03-Jul-20,25to64,0.0083
04-Jul-20,25to64,0.008
05-Jul-20,25to64,0.008
06-Jul-20,25to64,0.0081
07-Jul-20,25to64,0.0077
08-Jul-20,25to64,0.0071
09-Jul-20,25to64,0.0066
10-Jul-20,25to64,0.0067
11-Jul-20,25to64,0.0068
12-Jul-20,25to64,0.0068
13-Jul-20,25to64,0.0065
14-Jul-20,25to64,0.0069
15-Jul-20,25to64,0.0068
16-Jul-20,25to64,0.0072
17-Jul-20,25to64,0.0072
18-Jul-20,25to64,0.0073
19-Jul-20,25to64,0.0075
20-Jul-20,25to64,0.0075
21-Jul-20,25to64,0.0076
22-Jul-20,25to64,0.0074
23-Jul-20,25to64,0.007
