_id,Reported Date,Confirmed Negative,Presumptive Negative,Presumptive Positive,Confirmed Positive,Resolved,Deaths,Total Cases,Total patients approved for testing as of Reporting Date,Total tests completed in the last day,Percent positive tests in last day,Under Investigation,Number of patients hospitalized with COVID-19,Number of patients in ICU with COVID-19,Number of patients in ICU on a ventilator with COVID-19,Total Positive LTC Resident Cases,Total Positive LTC HCW Cases,Total LTC Resident Deaths,Total LTC HCW Deaths
91,2020-05-06T00:00:00,,,,4071,13222,1429,18722,365675,12961,4.1,8790,1032,219,174,,,,
92,2020-05-07T00:00:00,,,,4075,13569,1477,19121,380854,15179,3.5,13012,1033,220,155,,,,
93,2020-05-08T00:00:00,,,,4068,13990,1540,19598,397149,16295,3.2,14641,1028,213,166,,,,
94,2020-05-09T00:00:00,,,,3962,14383,1599,19944,416376,19227,3.2,15307,1016,203,158,,,,
95,2020-05-10T00:00:00,,,,3832,14772,1634,20238,433994,17618,3.7,14816,961,195,140,,,,
96,2020-05-11T00:00:00,,,,3746,15131,1669,20546,447964,13970,3.1,9018,1027,194,147,,,,
97,2020-05-12T00:00:00,,,,3791,15391,1725,20907,459921,11957,4.7,10811,1025,192,146,,,,
98,2020-05-13T00:00:00,,,,3626,15845,1765,21236,475058,15137,3.7,13395,1018,189,144,,,,
99,2020-05-14T00:00:00,,,,3579,16204,1798,21581,492487,17429,3.5,17578,1026,184,141,,,,
100,2020-05-15T00:00:00,,,,3456,16641,1825,21922,510841,18354,4.1,14373,986,179,135,,,,
101,2020-05-16T00:00:00,,,,3435,17020,1858,22313,528609,17768,5.4,10565,975,180,135,,,,
102,2020-05-17T00:00:00,,,,3412,17360,1881,22653,544826,16217,7.8,4414,934,171,129,,,,
103,2020-05-18T00:00:00,,,,3415,17638,1904,22957,553981,9155,8.0,2189,972,174,133,,,,
104,2020-05-19T00:00:00,,,,3567,17898,1919,23384,559794,5813,6.0,2294,987,167,123,4235,1456,1115,3
105,2020-05-20T00:00:00,,,,3622,18190,1962,23774,567176,7382,6.8,4444,991,160,120,4518,1573,1224,4
106,2020-05-21T00:00:00,,,,3685,18509,1993,24187,577682,10506,5.8,5051,984,155,117,4656,1601,1242,4
107,2020-05-22T00:00:00,,,,3840,18767,2021,24628,588958,11276,5.5,5516,961,153,120,4711,1623,1262,4
108,2020-05-23T00:00:00,,,,3846,19146,2048,25040,599986,11028,5.1,5871,912,147,119,4784,1650,1282,4
109,2020-05-24T00:00:00,,,,3950,19477,2073,25500,611369,11383,6.4,3216,878,148,104,4834,1668,1300,4
110,2020-05-25T00:00:00,,,,4104,19698,2102,25904,619539,8170,5.0,3883,859,148,114,4862,1678,1323,4
111,2020-05-26T00:00:00,,,,4110,19958,2123,26191,629414,9875,3.5,6961,848,143,113,4892,1703,1335,4
112,2020-05-27T00:00:00,,,,3956,20372,2155,26483,644547,15133,3.0,11817,847,150,117,4936,1721,1352,4
113,2020-05-28T00:00:00,,,,4004,20673,2189,26866,662162,17615,3.3,11868,833,137,94,4964,1745,1377,5
114,2020-05-29T00:00:00,,,,3997,20983,2230,27210,680687,18525,2.8,13351,826,129,100,4989,1775,1412,5
115,2020-05-30T00:00:00,,,,3933,21353,2247,27533,701327,20640,3.4,12760,801,121,84,5003,1793,1423,5
116,2020-05-31T00:00:00,,,,3783,21810,2266,27859,718341,17014,3.4,9647,781,118,90,5035,1802,1438,6
117,2020-06-01T00:00:00,,,,3834,22153,2276,28263,732720,14379,3.1,6427,781,125,89,5097,1814,1445,6
118,2020-06-02T00:00:00,,,,3932,22484,2293,28709,747964,15244,3.8,10622,801,125,87,5158,1825,1465,5
119,2020-06-03T00:00:00,,,,3924,22811,2312,29047,765501,17537,2.1,11636,791,127,92,5172,1843,1472,5
120,2020-06-04T00:00:00,,,,3838,23208,2357,29403,786323,20822,2.1,12760,776,121,94,5202,1865,1509,5
121,2020-06-05T00:00:00,,,,3792,23583,2372,29747,809053,22730,1.8,12247,749,118,94,5222,1883,1519,5
122,2020-06-06T00:00:00,,,,3848,23947,2407,30202,832158,23105,2.0,12384,673,117,97,5248,1892,1549,5
123,2020-06-07T00:00:00,,,,3939,24252,2426,30617,851532,19374,2.1,6779,635,117,92,5254,1921,1557,5
124,2020-06-08T00:00:00,,,,3918,24492,2450,30860,866889,15357,2.6,4811,603,118,81,5256,1932,1575,5
125,2020-06-09T00:00:00,,,,3797,24829,2464,31090,880398,13509,1.5,11020,600,116,88,5274,1948,1585,5
126,2020-06-10T00:00:00,,,,3486,25380,2475,31341,900339,19941,1.6,13897,580,118,86,5294,1963,1591,5
127,2020-06-11T00:00:00,,,,3172,25885,2487,31544,924680,24341,1.6,16359,538,120,87,5307,1967,1600,5
128,2020-06-12T00:00:00,,,,3041,26187,2498,31726,953015,28335,1.4,18512,527,114,84,5314,1984,1606,5
129,2020-06-13T00:00:00,,,,2947,26538,2507,31992,980471,27456,1.0,26158,489,110,68,5327,2001,1610,5
130,2020-06-14T00:00:00,,,,2709,26961,2519,32189,1003749,23278,1.3,25290,438,103,77,5368,2029,1625,6
131,2020-06-15T00:00:00,,,,2630,27213,2527,32370,1025500,21751,1.3,18258,419,104,69,5380,2041,1629,6
132,2020-06-16T00:00:00,,,,2585,27431,2538,32554,1047224,21724,1.2,17920,413,98,70,5357,2060,1632,6
